user_input,reference
株式会社クニエの強みは何ですか,日本で事業を営む総合コンサルティングファームは外資系が多い中，当社は，日本発の総合コンサルティングファームとして，お客さまに寄り添い，日本企業の心強いパートナーになることを心掛けています．特に製造業においては，事業会社出身で現場業務を熟知した人材が多く，業界の慣習や日本企業のビジネススタイルに関する知見も豊富なところが強みになっています．
定年は何歳ですか,社員の定年年齢は満60歳です。
不正行為の通報・相談を行いたいときはどこに連絡すればいいですか。,不正行為の通報として以下が挙げられます。 ・マネージャー以上の上司または関係者 ・マネージング・ディレクター、チーフ・コンプライアンス・オフィサー、経営トップあるいは監査役 ・法務部門 legal@qunie.com ・人事部門 hrm@qunie.com ・社内専用ライン trustline@qunie.com ・NTTデータグループ ホイッスル・ライン及びハラスメント・ホットライン https://home.groupwide.net/nttdata/soumu/risk/report/index.html
贈収賄・腐敗防止における「公務員等」とは具体的に誰のことですか。,「公務員等」とは、国内及び国外を問わず、次の者、これに準ずる者及びそれらの家族を指すが、これらに限定されない。①政府又は地方公共団体の役職員②法令により、公務員と同様の扱いを受ける法人の役職員③政府又は地方公共団体に所有される法人の役職員④国際機関の役職員⑤政府若しくは地方公共団体又は国際機関の権限に属する事務を、権限の委任を受けて行う法人の役職員⑥法律等で贈収賄を処罰する規定がある法人、団体等の役職員⑦皇族、政治家、政治的な影響力をもつ著名な公人⑧過去に①～⑦の地位にあった者
会社のPCを使ってクラウドサービスにアクセスしてもいいですか。,社内のPC・ネットワークから許可されていないサイトサービス・クラウドサービス等へのアクセスをしてはいけません。
顧客に提出する見積書に記載しなければならない項目は何ですか。,顧客に提出する見積書の記載事項は以下の通りです。・顧客名・見積者名・見積書提出年月日・見積件数・見積価格・見積有効期限、前提条件他必要な事項
有給休暇は毎年何日追加されますか,勤続年数1年未満の社員は13日、勤続年数1年以上の社員は勤続年数に応じて以下の日数有給休暇が付与されます。2年目：15日3年目：17日4年目：19日5年目以降：20日
有給休暇は毎年何日追加されますか。勤続1年未満、2年以上の場合どちらも回答してください,勤続年数1年未満の社員は13日、勤続年数1年以上の社員は勤続年数に応じて以下の日数有給休暇が付与されます。2年目：15日3年目：17日4年目：19日5年目以降：20日
TxB-2チームのチームリーダーは誰ですか,TxB-2チームのチームリーダーは里MDです。
2023年度のアイスクリームの販売金額はいくらですか。,2023年度のアイスクリームの販売金額は6082億円です。
Salesforceの導入が進まない原因として何が考えられますか,Salesforceの定着化が進まない原因として、以下の6つが挙げられます。1.Salesforceの活用目的が決まっていない・適切でない2.評価指標（KPI）が決まっていない・適切でない3.経営層やマネージャの活用意識が低い4.現場利用における価値訴求ができていない5.定着化推進体制が不十分であり、運用支援が受けられない6.利用者に対するトレーニングが不十分・実施の仕方がわからない
情報セキュリティインシデントの発見者は、誰に通報しなければなりませんか。,情報セキュリティインシデントの発見者は、以下の者に迅速に連絡しなければなりません。・情報所有者・情報システム責任者・ネットワーク責任者
経営会議に付議するにはどうすればいいですか。,経営会議に付議するために、付議元は以下の手続きを行う必要があります。・経営会議開催週の月曜までに付議元組織長（経営管理本部長/CS統括本部長/各CS本部長）の了解を得た上で付議希望件名を事務局へメール通知する・火曜日に付議資料を事務局に送付する・木曜日までに付議資料を最終化し、事務局に送付する
2013年度の紙カップ形態のアイスクリームの販売金額はいくらですか。,2024年度の紙カップ形態のアイスクリームの販売金額は716億円です。
菊山直也さんの現在の職位はなんですか,菊山直也さんは現在、フォーティエンスコンサルティング株式会社 代表取締役常務を務めています。
アナロジー発想を成果に繋げるにはどのようなポイントがありますか。,アナロジー発想を成果に繋げるには以下の5つのポイントがあります。1.成功基準の明確化とKPI設定2.実現可能性の見極め3.検証と改善のPDCAサイクル構築4.人とAIの役割分担と共同体制づくり5.人材育成とチェンジマネジメント
株式会社サンプルの2022年の売上高はいくらですか,株式会社サンプルの2022年の売上高は、2400万円です。
RAGアプリケーションにおいて、社内ナレッジはどこに格納されますか,社内文章の格納先は、Azure Blob StorageとSharePoint、OneDriveの3種類です。
Azure AI Foundryの「ガードレールとコントロール」機能で検出できる有害なコンテンツのカテゴリはなんですか,Azure AI Foundryの「ガードレールとコントロール」機能で検出できる有害なコンテンツは以下の通りです。・ヘイトと公平性・性的・暴力・自傷行為・直接攻撃に関するプロンプトシールド・関節攻撃に関するプロンプトシールド・ブロックリスト
経理・財務業務において生成AIはどのように活用できますか,経理・財務業務において、生成AIは以下のようなシーンで活用できます。①取引締結（取引先審査・契約締結）②仕分計上（システム申請・審査）③管理会計（財務分析・ビジュアライゼーション）④開示（ドキュメンテーション・想定QA作成）
RAGアプリケーションの実装において利用が想定されているM365アプリは何ですか,RAGアプリケーションの実装において利用するM365アプリは、以下の通りです。・Microsoft Teams・RAG Apps・Copilot Studio・Power Automate・Dataverse・Onedrive・Sharepoint
山口重樹さんの主な著書は何ですか,山口重樹さんの主な著書・共著に『デジタルエコノミーと経営の未来』（東洋経済新報社）、『信頼とデジタル』、『デジタル変革と学習する組織』（以上、ダイヤモンド社）『フォーサイト起点の社会イノベーション』（日本経済新聞出版社）などがあります。
